[2017-05-11T19:10:49,140][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:10:54,779][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:17,885][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:18,746][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:21,085][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:22,458][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:22,521][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:29,572][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:29,813][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:30,122][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:30,189][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:30,674][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:31,670][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:11:31,772][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:15:41,722][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:15:45,268][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:15:47,353][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:15:47,807][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:15:47,953][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:16:36,337][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:21:29,845][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:00,881][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:12,205][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:13,499][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
[2017-05-11T19:23:13,906][WARN ][o.e.d.c.ParseField       ] Deprecated field [like_text] used, replaced by [like]
