[2017-05-12 13:44:56,105 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,234 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,235 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,368 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,368 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,504 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,504 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,631 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,632 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,760 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,761 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:56,889 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:56,889 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,021 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,021 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,148 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,148 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,276 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,277 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,404 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,405 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,536 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,537 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,685 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,685 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,812 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,813 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:57,941 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:57,941 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,082 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,083 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,219 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,220 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,356 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,357 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,484 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,485 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,612 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,613 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,748 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,749 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:58,876 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:58,877 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,004 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,004 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,132 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,133 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,262 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,262 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,393 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,393 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,520 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,521 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,649 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,649 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,773 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,774 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:44:59,900 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:44:59,901 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,032 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,033 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,161 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,161 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,296 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,296 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,437 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,438 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,568 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,568 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,700 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,701 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,829 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,830 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:00,962 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:00,962 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,093 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,094 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,227 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,227 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,358 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,359 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,489 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,490 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,623 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,623 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
[2017-05-12 13:45:01,750 - cloudAMQP_client.py:29 - INFO - getMessage() ]: [O] Received message from tap-news-log-graphite-task-queue
[2017-05-12 13:45:01,751 - graphite_log_client.py:29 - INFO - handle_message() ]: message is broken
